Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_003,PCT_SE_A01001_004,PCT_SE_A01001_005,PCT_SE_A01001_006,PCT_SE_A01001_007,PCT_SE_A01001_008,PCT_SE_A01001_009,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013
"06037237401","Census Tract 2374.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"237401",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037237401","Census Tract 2374.01",,,,3906,271,308,286,195,249,817,412,394,581,283,58,52,6.94,7.89,7.32,4.99,6.37,20.92,10.55,10.09,14.87,7.25,1.48,1.33
"06037237402","Census Tract 2374.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"237402",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037237402","Census Tract 2374.02",,,,3618,156,146,176,245,380,609,300,649,343,368,166,80,4.31,4.04,4.86,6.77,10.5,16.83,8.29,17.94,9.48,10.17,4.59,2.21
"06037237500","Census Tract 2375, Los Angeles County, California","ca","140","00",,,,"06","037",,,"237500",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037237500","Census Tract 2375",,,,2727,108,128,281,173,352,333,314,358,341,242,68,29,3.96,4.69,10.3,6.34,12.91,12.21,11.51,13.13,12.5,8.87,2.49,1.06
"06037237600","Census Tract 2376, Los Angeles County, California","ca","140","00",,,,"06","037",,,"237600",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037237600","Census Tract 2376",,,,4092,215,236,161,177,514,750,618,414,361,364,275,7,5.25,5.77,3.93,4.33,12.56,18.33,15.1,10.12,8.82,8.9,6.72,0.17
"06037237710","Census Tract 2377.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"237710",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037237710","Census Tract 2377.10",,,,4372,205,311,520,295,794,539,372,711,358,192,33,42,4.69,7.11,11.89,6.75,18.16,12.33,8.51,16.26,8.19,4.39,0.75,0.96
"06037237720","Census Tract 2377.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"237720",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037237720","Census Tract 2377.20",,,,3447,514,325,190,103,365,752,271,341,419,90,27,50,14.91,9.43,5.51,2.99,10.59,21.82,7.86,9.89,12.16,2.61,0.78,1.45
"06037237800","Census Tract 2378, Los Angeles County, California","ca","140","00",,,,"06","037",,,"237800",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037237800","Census Tract 2378",,,,4160,194,372,297,73,454,585,635,398,504,263,218,167,4.66,8.94,7.14,1.75,10.91,14.06,15.26,9.57,12.12,6.32,5.24,4.01
"06037237900","Census Tract 2379, Los Angeles County, California","ca","140","00",,,,"06","037",,,"237900",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037237900","Census Tract 2379",,,,4040,294,278,289,64,369,558,480,489,559,414,215,31,7.28,6.88,7.15,1.58,9.13,13.81,11.88,12.1,13.84,10.25,5.32,0.77
"06037238000","Census Tract 2380, Los Angeles County, California","ca","140","00",,,,"06","037",,,"238000",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037238000","Census Tract 2380",,,,5438,326,174,468,72,536,502,560,736,1148,459,292,165,5.99,3.2,8.61,1.32,9.86,9.23,10.3,13.53,21.11,8.44,5.37,3.03
"06037238100","Census Tract 2381, Los Angeles County, California","ca","140","00",,,,"06","037",,,"238100",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037238100","Census Tract 2381",,,,5205,210,404,271,101,477,935,637,1116,429,388,183,54,4.03,7.76,5.21,1.94,9.16,17.96,12.24,21.44,8.24,7.45,3.52,1.04
